timestamp,zone,total
16/02/2023 20:00:00,Gare de Namur,523
16/02/2023 21:00:00,Gare de Namur,482
16/02/2023 22:00:00,Gare de Namur,344
16/02/2023 23:00:00,Gare de Namur,257
17/02/2023 00:00:00,Gare de Namur,309
17/02/2023 01:00:00,Gare de Namur,299
17/02/2023 02:00:00,Gare de Namur,237
17/02/2023 03:00:00,Gare de Namur,267
17/02/2023 04:00:00,Gare de Namur,275
17/02/2023 05:00:00,Gare de Namur,333
17/02/2023 06:00:00,Gare de Namur,420
17/02/2023 07:00:00,Gare de Namur,2016
17/02/2023 08:00:00,Gare de Namur,1115
17/02/2023 09:00:00,Gare de Namur,986
17/02/2023 10:00:00,Gare de Namur,1026
17/02/2023 11:00:00,Gare de Namur,1109
17/02/2023 12:00:00,Gare de Namur,1304
17/02/2023 13:00:00,Gare de Namur,1184
17/02/2023 14:00:00,Gare de Namur,1155
17/02/2023 15:00:00,Gare de Namur,1806
17/02/2023 16:00:00,Gare de Namur,1792
17/02/2023 17:00:00,Gare de Namur,1448
17/02/2023 18:00:00,Gare de Namur,1221
17/02/2023 19:00:00,Gare de Namur,1165
17/02/2023 20:00:00,Gare de Namur,784
17/02/2023 21:00:00,Gare de Namur,912
17/02/2023 22:00:00,Gare de Namur,560
17/02/2023 23:00:00,Gare de Namur,416
18/02/2023 00:00:00,Gare de Namur,432
18/02/2023 01:00:00,Gare de Namur,346
18/02/2023 02:00:00,Gare de Namur,244
18/02/2023 03:00:00,Gare de Namur,205
18/02/2023 04:00:00,Gare de Namur,207
18/02/2023 05:00:00,Gare de Namur,201
18/02/2023 06:00:00,Gare de Namur,229
18/02/2023 07:00:00,Gare de Namur,276
18/02/2023 08:00:00,Gare de Namur,305
18/02/2023 09:00:00,Gare de Namur,333
18/02/2023 10:00:00,Gare de Namur,308
18/02/2023 11:00:00,Gare de Namur,443
18/02/2023 12:00:00,Gare de Namur,500
18/02/2023 13:00:00,Gare de Namur,779
18/02/2023 14:00:00,Gare de Namur,640
18/02/2023 15:00:00,Gare de Namur,456
18/02/2023 16:00:00,Gare de Namur,757
18/02/2023 17:00:00,Gare de Namur,748
18/02/2023 18:00:00,Gare de Namur,583
18/02/2023 19:00:00,Gare de Namur,370
18/02/2023 20:00:00,Gare de Namur,327
18/02/2023 21:00:00,Gare de Namur,312
18/02/2023 22:00:00,Gare de Namur,277
18/02/2023 23:00:00,Gare de Namur,219
19/02/2023 00:00:00,Gare de Namur,207
19/02/2023 01:00:00,Gare de Namur,200
19/02/2023 02:00:00,Gare de Namur,188
19/02/2023 03:00:00,Gare de Namur,211
19/02/2023 04:00:00,Gare de Namur,210
19/02/2023 05:00:00,Gare de Namur,214
19/02/2023 06:00:00,Gare de Namur,202
19/02/2023 07:00:00,Gare de Namur,241
19/02/2023 08:00:00,Gare de Namur,282
19/02/2023 09:00:00,Gare de Namur,254
19/02/2023 10:00:00,Gare de Namur,254
19/02/2023 11:00:00,Gare de Namur,264
19/02/2023 12:00:00,Gare de Namur,337
19/02/2023 13:00:00,Gare de Namur,595
19/02/2023 14:00:00,Gare de Namur,465
19/02/2023 15:00:00,Gare de Namur,320
19/02/2023 16:00:00,Gare de Namur,385
19/02/2023 17:00:00,Gare de Namur,443
19/02/2023 18:00:00,Gare de Namur,395
19/02/2023 19:00:00,Gare de Namur,631
19/02/2023 20:00:00,Gare de Namur,315
19/02/2023 21:00:00,Gare de Namur,257
19/02/2023 22:00:00,Gare de Namur,247
19/02/2023 23:00:00,Gare de Namur,196
20/02/2023 00:00:00,Gare de Namur,191
20/02/2023 01:00:00,Gare de Namur,170
20/02/2023 02:00:00,Gare de Namur,188
20/02/2023 03:00:00,Gare de Namur,214
20/02/2023 04:00:00,Gare de Namur,233
20/02/2023 05:00:00,Gare de Namur,250
20/02/2023 06:00:00,Gare de Namur,313
20/02/2023 07:00:00,Gare de Namur,469
20/02/2023 08:00:00,Gare de Namur,462
20/02/2023 09:00:00,Gare de Namur,550
20/02/2023 10:00:00,Gare de Namur,525
20/02/2023 11:00:00,Gare de Namur,1022
20/02/2023 12:00:00,Gare de Namur,1193
20/02/2023 13:00:00,Gare de Namur,1174
20/02/2023 14:00:00,Gare de Namur,1152
20/02/2023 15:00:00,Gare de Namur,1115
20/02/2023 16:00:00,Gare de Namur,972
20/02/2023 17:00:00,Gare de Namur,634
20/02/2023 18:00:00,Gare de Namur,808
20/02/2023 19:00:00,Gare de Namur,672
20/02/2023 20:00:00,Gare de Namur,415
20/02/2023 21:00:00,Gare de Namur,344
20/02/2023 22:00:00,Gare de Namur,256
20/02/2023 23:00:00,Gare de Namur,225
21/02/2023 00:00:00,Gare de Namur,236
21/02/2023 01:00:00,Gare de Namur,198
21/02/2023 02:00:00,Gare de Namur,208
21/02/2023 03:00:00,Gare de Namur,225
21/02/2023 04:00:00,Gare de Namur,223
21/02/2023 05:00:00,Gare de Namur,311
21/02/2023 06:00:00,Gare de Namur,376
21/02/2023 07:00:00,Gare de Namur,654
21/02/2023 08:00:00,Gare de Namur,740
21/02/2023 09:00:00,Gare de Namur,901
21/02/2023 10:00:00,Gare de Namur,953
21/02/2023 11:00:00,Gare de Namur,1233
21/02/2023 12:00:00,Gare de Namur,1875
21/02/2023 13:00:00,Gare de Namur,1237
21/02/2023 14:00:00,Gare de Namur,939
21/02/2023 15:00:00,Gare de Namur,1055
21/02/2023 16:00:00,Gare de Namur,1134
21/02/2023 17:00:00,Gare de Namur,968
21/02/2023 18:00:00,Gare de Namur,1323
21/02/2023 19:00:00,Gare de Namur,1085
21/02/2023 20:00:00,Gare de Namur,644
21/02/2023 21:00:00,Gare de Namur,334
21/02/2023 22:00:00,Gare de Namur,290
21/02/2023 23:00:00,Gare de Namur,249
22/02/2023 00:00:00,Gare de Namur,231
22/02/2023 01:00:00,Gare de Namur,223
22/02/2023 02:00:00,Gare de Namur,216
22/02/2023 03:00:00,Gare de Namur,212
22/02/2023 04:00:00,Gare de Namur,251
22/02/2023 05:00:00,Gare de Namur,281
22/02/2023 06:00:00,Gare de Namur,410
22/02/2023 07:00:00,Gare de Namur,654
22/02/2023 08:00:00,Gare de Namur,1212
22/02/2023 09:00:00,Gare de Namur,982
22/02/2023 10:00:00,Gare de Namur,898
22/02/2023 11:00:00,Gare de Namur,980
22/02/2023 12:00:00,Gare de Namur,1158
22/02/2023 13:00:00,Gare de Namur,1180
22/02/2023 14:00:00,Gare de Namur,1008
22/02/2023 15:00:00,Gare de Namur,1023
22/02/2023 16:00:00,Gare de Namur,1017
