Name,Latitude,Longitude
Tielen,51.241021,4.893089
Tielt,50.990842,3.330341
Tienen,50.80802,4.92581
Tilff,50.570624,5.583937
Tilly,50.558084,4.552676
Tollembeek,50.735522,3.992828
Tongeren,50.784405,5.47328
Torhout,51.064707,3.105871
Toulon,43.1274781,5.9326648
Tourcoing,50.716667,3.15
Trois-Ponts,50.368214,5.873578
Troisvierges,50.121109,6.000281
Trooz,50.573213,5.688346
Tubeke,50.691708,4.205729
Turnhout,51.322032,4.937415
Ukkel-Kalevoet,50.791749,4.332207
Ukkel-Stalle,50.802411,4.323901
Utrecht Centraal,52.089167,5.109722
Valence TGV,44.93333,4.9
Veltem,50.900519,4.633516
Vertrijk,50.836282,4.835522
Verviers-Centraal,50.588135,5.854917
Verviers-Paleis,50.590921,5.865335
Veurne,51.073867,2.66994
Viane-Moerbeke,50.751981,3.917337
Vichte,50.833657,3.39163
Vielsalm,50.278933,5.909211
Vijfhuizen,50.943254,3.98125
Ville-Pommerœul,50.464542,3.724248
Villers-la-Ville,50.578103,4.533349
Vilvoorde,50.924583,4.432823
Virton,49.560821,5.519125
Vise-Frontiere,50.758413,5.702903
Viville,49.688243,5.786527
Voroux,50.66181,5.429556
Vorst-Oost,50.810195,4.320943
Vorst-Zuid,50.809215,4.309167
Waarschoot,51.154608,3.615353
Walcourt,50.259219,4.435879
Waregem,50.892456,3.42551
Waterloo,50.715422,4.383481
Watermaal,50.80917,4.399887
Waver,50.716267,4.604778
Weerde,50.977449,4.470937
Welkenraedt,50.659707,5.975381
Welle,50.903279,4.05062
Wervik,50.781861,3.046983
Wespelaar-Tildonk,50.958544,4.638011
Wetteren,51.001603,3.881883
Wevelgem,50.811526,3.18352
Wezemaal,50.956261,4.747679
Wezet,50.73776,5.692544
Wichelen,51.001962,3.969195
Wien Hbf,48.184923,16.375864
Wijgmaal,50.92274,4.701475
Wildert,51.428087,4.46335
Willebroek,51.066343,4.356019
Wilwerwiltz,49.988887,5.999166
Wolfstee,51.168361,4.786144
Wondelgem,51.088357,3.719071
Y.renory,50.604856,5.55788
Yves-Gomezée,50.23698,4.500404
Yvoir,50.32084,4.878643
Zandbergen,50.806986,3.957653
Zaventem,50.885723,4.469886
Zedelgem,51.127047,3.16414
Zeebrugge-Dorp,51.326383,3.19517
Zeebrugge-Strand,51.330503,3.184028
Zele,51.073256,4.041999
Zellik,50.890028,4.274541
Zichem,51.00669,4.987359
Zingem,50.908025,3.646384
Zinnik,50.572763,4.067519
Zolder,51.033548,5.3299
Zonhoven,50.989557,5.348815
Zottegem,50.869102,3.81441
Zwankendamme,51.306409,3.191557
Zwijndrecht,51.214108,4.32978
Zwijndrecht-Dorp,51.2191653,4.3256707
Écaussinnes,50.56239,4.156639
