timestamp,zone,total
20/02/2023 05:00:00,Gare de Charleroi,321
20/02/2023 06:00:00,Gare de Charleroi,539
20/02/2023 07:00:00,Gare de Charleroi,691
20/02/2023 08:00:00,Gare de Charleroi,834
20/02/2023 09:00:00,Gare de Charleroi,880
20/02/2023 10:00:00,Gare de Charleroi,909
20/02/2023 11:00:00,Gare de Charleroi,975
20/02/2023 12:00:00,Gare de Charleroi,963
20/02/2023 13:00:00,Gare de Charleroi,1134
20/02/2023 14:00:00,Gare de Charleroi,1074
20/02/2023 15:00:00,Gare de Charleroi,1079
20/02/2023 16:00:00,Gare de Charleroi,982
20/02/2023 17:00:00,Gare de Charleroi,796
20/02/2023 18:00:00,Gare de Charleroi,701
20/02/2023 19:00:00,Gare de Charleroi,618
20/02/2023 20:00:00,Gare de Charleroi,453
20/02/2023 21:00:00,Gare de Charleroi,476
20/02/2023 22:00:00,Gare de Charleroi,326
20/02/2023 23:00:00,Gare de Charleroi,385
21/02/2023 00:00:00,Gare de Charleroi,378
21/02/2023 01:00:00,Gare de Charleroi,341
21/02/2023 02:00:00,Gare de Charleroi,314
21/02/2023 03:00:00,Gare de Charleroi,304
21/02/2023 04:00:00,Gare de Charleroi,281
21/02/2023 05:00:00,Gare de Charleroi,464
21/02/2023 06:00:00,Gare de Charleroi,589
21/02/2023 07:00:00,Gare de Charleroi,608
21/02/2023 08:00:00,Gare de Charleroi,792
21/02/2023 09:00:00,Gare de Charleroi,882
21/02/2023 10:00:00,Gare de Charleroi,924
21/02/2023 11:00:00,Gare de Charleroi,990
21/02/2023 12:00:00,Gare de Charleroi,1052
21/02/2023 13:00:00,Gare de Charleroi,1194
21/02/2023 14:00:00,Gare de Charleroi,1193
21/02/2023 15:00:00,Gare de Charleroi,1200
21/02/2023 16:00:00,Gare de Charleroi,1061
21/02/2023 17:00:00,Gare de Charleroi,980
21/02/2023 18:00:00,Gare de Charleroi,780
21/02/2023 19:00:00,Gare de Charleroi,611
21/02/2023 20:00:00,Gare de Charleroi,594
21/02/2023 21:00:00,Gare de Charleroi,453
21/02/2023 22:00:00,Gare de Charleroi,444
21/02/2023 23:00:00,Gare de Charleroi,401
22/02/2023 00:00:00,Gare de Charleroi,401
22/02/2023 01:00:00,Gare de Charleroi,259
22/02/2023 02:00:00,Gare de Charleroi,346
